All calculations,Bus 16
"b:tnow in s","m:fehz in Hz"
3.041667,59.747472
3.051667,59.746435
3.061667,59.745406
3.071667,59.744386
3.081667,59.743375
3.091667,59.742374
3.101667,59.741382
3.111667,59.740400
3.121667,59.739427
3.131667,59.738465
3.141667,59.737513
3.151667,59.736571
3.161667,59.735640
3.171667,59.734720
3.181667,59.733810
3.191667,59.732911
3.201667,59.732024
3.211667,59.731147
3.221667,59.730282
3.231667,59.729427
3.241667,59.728584
3.251667,59.727752
3.261667,59.726931
3.271667,59.726121
3.281667,59.725322
3.291667,59.724535
3.301667,59.723758
3.311667,59.722992
3.321667,59.722237
3.331667,59.721493
3.341667,59.720759
3.351667,59.720036
3.361667,59.719323
3.371667,59.718620
3.381667,59.717927
3.391667,59.717243
3.401667,59.716570
3.411667,59.715905
3.421667,59.715250
3.431667,59.714604
3.441667,59.713966
3.451667,59.713337
3.461667,59.712715
3.471667,59.712102
3.481667,59.711496
3.491667,59.710897
3.501667,59.710305
3.511667,59.709720
3.521667,59.709141
3.531667,59.708568
3.541667,59.708001
3.551667,59.707439
3.561667,59.706882
3.571667,59.706329
3.581667,59.705781
3.591667,59.705237
3.601667,59.704696
3.611667,59.704159
3.621667,59.703624
3.631667,59.703092
3.641667,59.702562
3.651667,59.702034
3.661667,59.701508
3.671667,59.700983
3.681667,59.700458
3.691667,59.699934
3.701667,59.699410
3.711667,59.698886
3.721667,59.698361
3.731667,59.697835
3.741667,59.697308
3.751667,59.696780
3.761667,59.696250
3.771667,59.695718
3.781667,59.695183
3.791667,59.694646
3.801667,59.694106
3.811667,59.693563
3.821667,59.693017
3.831667,59.692467
3.841667,59.691913
3.851667,59.691355
3.861667,59.690793
3.871667,59.690226
3.881667,59.689655
3.891667,59.689079
3.901667,59.688498
3.911667,59.687912
3.921667,59.687320
3.931667,59.686724
3.941667,59.686122
3.951667,59.685514
3.961667,59.684901
3.971667,59.684282
3.981667,59.683657
3.991667,59.683027
4.001667,59.682391
4.011667,59.681749
4.021667,59.681101
4.031667,59.680447
4.041667,59.679788
4.051667,59.679122
4.061667,59.678451
4.071667,59.677775
4.081667,59.677092
4.091667,59.676404
4.101667,59.675710
4.111667,59.675011
4.121667,59.674307
4.131667,59.673598
4.141667,59.672883
4.151667,59.672164
4.161667,59.671439
4.171667,59.670710
4.181667,59.669977
4.191667,59.669239
4.201667,59.668497
4.211667,59.667751
4.221667,59.667001
4.231667,59.666247
4.241667,59.665490
4.251667,59.664730
4.261667,59.663966
4.271667,59.663200
4.281667,59.662431
4.291667,59.661660
4.301667,59.660887
4.311667,59.660111
4.321667,59.659334
4.331667,59.658555
4.341667,59.657775
4.351667,59.656994
4.361667,59.656212
4.371667,59.655430
4.381667,59.654647
4.391667,59.653864
4.401667,59.653081
4.411667,59.652298
4.421667,59.651516
4.431667,59.650735
4.441667,59.649955
4.451667,59.649176
4.461667,59.648399
4.471667,59.647623
4.481667,59.646850
4.491667,59.646078
4.501667,59.645309
4.511667,59.644543
4.521667,59.643779
4.531667,59.643018
4.541667,59.642261
4.551667,59.641507
4.561667,59.640757
4.571667,59.640010
4.581667,59.639267
4.591667,59.638529
4.601667,59.637795
4.611667,59.637065
4.621667,59.636340
4.631667,59.635620
4.641667,59.634905
4.651667,59.634195
4.661667,59.633490
4.671667,59.632791
4.681667,59.632097
4.691667,59.631409
4.701667,59.630726
4.711667,59.630049
4.721667,59.629379
4.731667,59.628714
4.741667,59.628055
4.751667,59.627403
4.761667,59.626756
4.771667,59.626116
4.781667,59.625483
4.791667,59.624856
4.801667,59.624235
4.811667,59.623620
4.821667,59.623013
4.831667,59.622411
4.841667,59.621816
4.851667,59.621228
4.861667,59.620646
4.871667,59.620071
4.881667,59.619502
4.891667,59.618939
4.901667,59.618383
4.911667,59.617833
4.921667,59.617290
4.931667,59.616753
4.941667,59.616222
4.951667,59.615697
4.961667,59.615178
4.971667,59.614665
4.981667,59.614158
4.991667,59.613657
5.001667,59.613161
5.011667,59.612671
5.021667,59.612186
5.031667,59.611707
5.041667,59.611233
5.051667,59.610764
5.061667,59.610300
5.071667,59.609840
5.081667,59.609386
5.091667,59.608936
5.101667,59.608490
5.111667,59.608048
5.121667,59.607611
5.131667,59.607177
5.141667,59.606747
5.151667,59.606321
5.161667,59.605898
5.171667,59.605479
5.181667,59.605062
5.191667,59.604648
5.201667,59.604237
5.211667,59.603829
5.221667,59.603422
5.231667,59.603018
5.241667,59.602616
5.251667,59.602216
5.261667,59.601817
5.271667,59.601420
5.281667,59.601024
5.291667,59.600629
5.301667,59.600235
5.311667,59.599842
5.321667,59.599449
5.331667,59.599057
5.341667,59.598665
5.351667,59.598273
5.361667,59.597880
5.371667,59.597488
5.381667,59.597095
5.391667,59.596701
5.401667,59.596307
5.411667,59.595911
5.421667,59.595515
5.431667,59.595118
5.441667,59.594719
5.451667,59.594318
5.461667,59.593916
5.471667,59.593512
5.481667,59.593107
5.491667,59.592699
5.501667,59.592290
5.511667,59.591878
5.521667,59.591464
5.531667,59.591047
5.541667,59.590628
5.551667,59.590207
5.561667,59.589783
5.571667,59.589356
5.581667,59.588927
5.591667,59.588495
5.601667,59.588059
5.611667,59.587621
5.621667,59.587180
5.631667,59.586736
5.641667,59.586290
5.651667,59.585840
5.661667,59.585387
5.671667,59.584931
5.681667,59.584472
5.691667,59.584010
5.701667,59.583545
5.711667,59.583076
5.721667,59.582605
5.731667,59.582131
5.741667,59.581654
5.751667,59.581175
5.761667,59.580692
5.771667,59.580207
5.781667,59.579719
5.791667,59.579228
5.801667,59.578734
5.811667,59.578239
5.821667,59.577740
5.831667,59.577240
5.841667,59.576737
5.851667,59.576232
5.861667,59.575725
5.871667,59.575215
5.881667,59.574704
5.891667,59.574192
5.901667,59.573677
5.911667,59.573161
5.921667,59.572644
5.931667,59.572126
5.941667,59.571606
5.951667,59.571085
5.961667,59.570563
5.971667,59.570041
5.981667,59.569518
5.991667,59.568994
6.001667,59.568470
6.011667,59.567946
6.021667,59.567422
6.031667,59.566898
6.041667,59.566374
6.051667,59.565850
6.061667,59.565327
6.071667,59.564805
6.081667,59.564283
6.091667,59.563763
6.101667,59.563243
6.111667,59.562725
6.121667,59.562208
6.131667,59.561692
6.141667,59.561178
6.151667,59.560666
6.161667,59.560156
6.171667,59.559648
6.181667,59.559142
6.191667,59.558638
6.201667,59.558137
6.211667,59.557638
6.221667,59.557142
6.231667,59.556649
6.241667,59.556159
6.251667,59.555672
6.261667,59.555187
6.271667,59.554706
6.281667,59.554229
6.291667,59.553754
6.301667,59.553284
6.311667,59.552816
6.321667,59.552353
6.331667,59.551893
6.341667,59.551437
6.351667,59.550985
6.361667,59.550536
6.371667,59.550092
6.381667,59.549652
6.391667,59.549216
6.401667,59.548784
6.411667,59.548356
6.421667,59.547932
6.431667,59.547513
6.441667,59.547097
6.451667,59.546686
6.461667,59.546279
6.471667,59.545877
6.481667,59.545479
6.491667,59.545085
6.501667,59.544695
6.511667,59.544309
6.521667,59.543928
6.531667,59.543550
6.541667,59.543177
6.551667,59.542808
6.561667,59.542443
6.571667,59.542082
6.581667,59.541725
6.591667,59.541372
6.601667,59.541023
6.611667,59.540677
6.621667,59.540335
6.631667,59.539997
6.641667,59.539663
6.651667,59.539332
6.661667,59.539004
6.671667,59.538680
6.681667,59.538358
6.691667,59.538040
6.701667,59.537725
6.711667,59.537413
6.721667,59.537104
6.731667,59.536798
6.741667,59.536494
6.751667,59.536193
6.761667,59.535894
6.771667,59.535598
6.781667,59.535303
6.791667,59.535011
6.801667,59.534721
6.811667,59.534433
6.821667,59.534147
6.831667,59.533862
6.841667,59.533579
6.851667,59.533297
6.861667,59.533017
6.871667,59.532737
6.881667,59.532459
6.891667,59.532182
6.901667,59.531906
